,Future Connection
"(33, 641)",0.0
"(28, 791)",0.0
"(191, 652)",0.0
"(373, 868)",0.0
"(91, 546)",0.0
"(458, 914)",0.0
"(575, 771)",0.0
"(268, 428)",0.0
"(59, 336)",0.0
"(179, 643)",1.0
"(386, 650)",0.0
"(203, 857)",0.0
"(287, 965)",0.0
"(656, 866)",0.0
"(235, 246)",0.0
"(764, 821)",0.0
"(90, 539)",0.0
"(822, 854)",0.0
"(527, 647)",0.0
"(268, 277)",0.0
"(518, 674)",0.0
"(135, 765)",0.0
"(198, 868)",1.0
"(118, 898)",0.0
"(735, 753)",0.0
"(45, 796)",0.0
"(426, 500)",0.0
"(256, 594)",0.0
"(60, 332)",0.0
"(183, 539)",0.0
"(188, 714)",0.0
"(14, 830)",0.0
"(680, 764)",0.0
"(360, 362)",1.0
"(182, 451)",0.0
"(204, 745)",0.0
"(99, 558)",0.0
"(318, 876)",0.0
"(259, 710)",0.0
"(42, 598)",0.0
"(167, 422)",0.0
"(768, 898)",0.0
"(225, 569)",0.0
"(116, 773)",0.0
"(621, 808)",0.0
"(227, 244)",0.0
"(216, 433)",0.0
"(289, 990)",0.0
"(454, 874)",0.0
"(220, 474)",0.0
"(599, 989)",0.0
"(340, 700)",0.0
"(805, 843)",0.0
"(495, 980)",0.0
"(672, 939)",0.0
"(312, 544)",0.0
"(592, 868)",0.0
"(473, 907)",0.0
"(212, 988)",0.0
"(33, 349)",0.0
"(465, 663)",0.0
"(144, 311)",0.0
"(884, 896)",0.0
"(177, 334)",0.0
"(437, 621)",0.0
"(466, 877)",0.0
"(368, 502)",0.0
"(300, 836)",0.0
"(324, 541)",1.0
"(623, 644)",0.0
"(544, 710)",0.0
"(93, 198)",1.0
"(667, 978)",0.0
"(94, 800)",0.0
"(202, 821)",0.0
"(283, 715)",0.0
"(378, 987)",0.0
"(270, 615)",0.0
"(109, 260)",0.0
"(476, 697)",0.0
"(201, 933)",0.0
"(469, 655)",0.0
"(72, 957)",0.0
"(352, 565)",0.0
"(826, 912)",0.0
"(390, 976)",0.0
"(413, 903)",0.0
"(271, 989)",0.0
"(76, 351)",0.0
"(36, 365)",0.0
"(242, 569)",0.0
"(613, 892)",0.0
"(732, 850)",0.0
"(186, 262)",0.0
"(404, 1004)",0.0
"(518, 827)",0.0
"(241, 675)",0.0
"(551, 911)",0.0
"(696, 799)",0.0
"(311, 414)",0.0
"(125, 138)",0.0
"(377, 753)",0.0
"(417, 823)",0.0
"(787, 881)",0.0
"(681, 960)",0.0
"(270, 920)",0.0
"(175, 362)",0.0
"(323, 359)",0.0
"(234, 775)",0.0
"(200, 977)",0.0
"(679, 876)",0.0
"(263, 816)",0.0
"(123, 822)",0.0
"(227, 286)",0.0
"(306, 655)",0.0
"(203, 710)",0.0
"(751, 762)",0.0
"(104, 583)",0.0
"(183, 731)",0.0
"(226, 903)",0.0
"(133, 753)",1.0
"(731, 971)",0.0
"(18, 975)",0.0
"(115, 724)",0.0
"(147, 604)",0.0
"(478, 904)",0.0
"(136, 492)",1.0
"(666, 783)",0.0
"(633, 750)",0.0
"(39, 517)",0.0
"(182, 290)",0.0
"(316, 504)",0.0
"(551, 722)",0.0
"(31, 967)",0.0
"(181, 369)",0.0
"(83, 682)",0.0
"(140, 396)",0.0
"(231, 905)",0.0
"(154, 347)",0.0
"(175, 185)",0.0
"(989, 990)",0.0
"(298, 363)",0.0
"(452, 696)",0.0
"(387, 601)",0.0
"(281, 551)",0.0
"(510, 817)",0.0
"(252, 265)",0.0
"(280, 338)",1.0
"(171, 725)",1.0
"(766, 858)",0.0
"(899, 946)",0.0
"(621, 841)",0.0
"(582, 605)",0.0
"(371, 540)",0.0
"(863, 905)",0.0
"(919, 969)",0.0
"(344, 395)",0.0
"(765, 972)",0.0
"(614, 946)",0.0
"(2, 403)",0.0
"(415, 588)",0.0
"(425, 650)",0.0
"(12, 34)",0.0
"(264, 477)",0.0
"(233, 882)",0.0
"(530, 769)",0.0
"(217, 936)",0.0
"(407, 933)",0.0
"(330, 981)",0.0
"(409, 556)",0.0
"(182, 636)",0.0
"(346, 1001)",0.0
"(237, 538)",0.0
"(218, 600)",0.0
"(13, 261)",1.0
"(640, 962)",0.0
"(191, 869)",0.0
"(307, 469)",0.0
"(366, 479)",0.0
"(67, 761)",0.0
"(199, 518)",0.0
"(582, 602)",0.0
"(331, 799)",0.0
"(85, 528)",0.0
"(615, 685)",0.0
"(194, 816)",0.0
"(399, 720)",0.0
"(633, 994)",0.0
"(240, 924)",0.0
"(138, 423)",0.0
"(76, 888)",0.0
"(253, 830)",0.0
"(308, 953)",0.0
"(378, 983)",0.0
"(93, 320)",1.0
"(393, 657)",0.0
"(145, 557)",0.0
"(54, 478)",0.0
"(403, 839)",0.0
"(342, 952)",0.0
"(34, 220)",0.0
"(677, 832)",0.0
"(767, 805)",0.0
"(130, 273)",0.0
"(371, 475)",0.0
"(245, 770)",0.0
"(205, 1000)",0.0
"(548, 738)",0.0
"(563, 663)",0.0
"(445, 720)",0.0
"(34, 178)",0.0
"(171, 849)",0.0
"(803, 813)",0.0
"(410, 786)",0.0
"(618, 905)",0.0
"(394, 962)",0.0
"(12, 311)",0.0
"(252, 878)",0.0
"(207, 784)",0.0
"(466, 515)",0.0
"(364, 801)",0.0
"(487, 706)",0.0
"(408, 627)",0.0
"(45, 110)",0.0
"(366, 639)",0.0
"(457, 844)",0.0
"(803, 974)",0.0
"(223, 604)",0.0
"(559, 594)",0.0
"(678, 924)",0.0
"(71, 151)",0.0
"(13, 365)",1.0
"(47, 874)",0.0
"(18, 58)",1.0
"(724, 886)",0.0
"(764, 783)",0.0
"(195, 753)",0.0
"(190, 356)",1.0
"(341, 571)",0.0
"(725, 932)",0.0
"(152, 490)",1.0
"(381, 527)",0.0
"(556, 918)",0.0
"(326, 854)",0.0
"(638, 726)",0.0
"(622, 669)",0.0
"(738, 772)",0.0
"(244, 719)",0.0
"(144, 428)",0.0
"(384, 652)",0.0
"(832, 973)",0.0
"(112, 256)",0.0
"(308, 806)",0.0
"(584, 927)",0.0
"(319, 678)",0.0
"(180, 733)",0.0
"(476, 892)",0.0
"(305, 560)",0.0
"(354, 408)",0.0
"(48, 100)",0.0
"(38, 794)",0.0
"(5, 771)",0.0
"(761, 995)",0.0
"(368, 962)",0.0
"(424, 437)",0.0
"(146, 270)",0.0
"(778, 998)",0.0
"(533, 884)",0.0
"(668, 848)",0.0
"(505, 898)",0.0
"(839, 894)",0.0
"(291, 796)",0.0
"(98, 871)",0.0
"(511, 528)",0.0
"(105, 456)",0.0
"(469, 756)",0.0
"(696, 789)",0.0
"(756, 877)",0.0
"(525, 826)",0.0
"(225, 931)",0.0
"(576, 941)",0.0
"(43, 986)",0.0
"(890, 931)",0.0
"(240, 340)",0.0
"(200, 507)",0.0
"(220, 862)",0.0
"(389, 554)",0.0
"(79, 839)",0.0
"(366, 991)",0.0
"(18, 494)",1.0
"(566, 873)",0.0
"(426, 830)",0.0
"(437, 620)",0.0
"(511, 656)",0.0
"(102, 607)",0.0
"(167, 607)",0.0
"(474, 941)",0.0
"(36, 555)",0.0
"(7, 613)",0.0
"(694, 988)",0.0
"(384, 931)",0.0
"(385, 800)",0.0
"(31, 513)",0.0
"(6, 542)",0.0
"(580, 925)",0.0
"(193, 326)",0.0
"(164, 656)",0.0
"(422, 531)",0.0
"(59, 930)",0.0
"(5, 908)",0.0
"(193, 246)",0.0
"(227, 387)",0.0
"(75, 935)",0.0
"(152, 415)",0.0
"(40, 711)",0.0
"(201, 722)",0.0
"(338, 819)",0.0
"(799, 853)",0.0
"(498, 744)",0.0
"(341, 794)",0.0
"(271, 908)",0.0
"(36, 39)",1.0
"(758, 847)",0.0
"(506, 695)",0.0
"(229, 460)",0.0
"(540, 544)",0.0
"(34, 392)",0.0
"(304, 838)",0.0
"(571, 836)",0.0
"(151, 966)",0.0
"(464, 636)",0.0
"(47, 890)",0.0
"(190, 279)",0.0
"(602, 656)",0.0
"(397, 798)",0.0
"(147, 440)",0.0
"(162, 674)",0.0
"(478, 488)",0.0
"(289, 439)",0.0
"(485, 490)",0.0
"(13, 998)",0.0
"(611, 667)",1.0
"(225, 267)",0.0
"(47, 109)",0.0
"(59, 655)",0.0
"(254, 857)",0.0
"(491, 832)",0.0
"(558, 816)",0.0
"(44, 927)",0.0
"(596, 950)",0.0
"(429, 740)",1.0
"(40, 894)",0.0
"(21, 780)",0.0
"(68, 694)",0.0
"(510, 647)",0.0
"(0, 603)",0.0
"(518, 612)",1.0
"(394, 1001)",0.0
"(62, 570)",0.0
"(621, 979)",0.0
"(101, 860)",0.0
"(181, 704)",0.0
"(276, 894)",0.0
"(127, 822)",0.0
"(159, 214)",0.0
"(280, 578)",0.0
"(636, 733)",0.0
"(194, 939)",0.0
"(77, 791)",0.0
"(542, 590)",0.0
"(355, 756)",0.0
"(372, 510)",0.0
"(47, 670)",0.0
"(99, 585)",0.0
"(393, 708)",0.0
"(935, 978)",0.0
"(145, 954)",1.0
"(42, 875)",0.0
"(42, 659)",0.0
"(299, 434)",0.0
"(649, 809)",0.0
"(411, 850)",0.0
"(878, 995)",0.0
"(290, 436)",0.0
"(392, 611)",0.0
"(50, 915)",0.0
"(17, 628)",0.0
"(262, 293)",0.0
"(35, 145)",0.0
"(365, 399)",0.0
"(419, 868)",0.0
"(263, 476)",0.0
"(167, 711)",1.0
"(540, 656)",0.0
"(952, 961)",0.0
"(313, 502)",0.0
"(218, 570)",0.0
"(143, 235)",0.0
"(439, 757)",0.0
"(405, 940)",0.0
"(168, 390)",0.0
"(572, 799)",1.0
"(57, 476)",0.0
"(693, 955)",0.0
"(239, 906)",0.0
"(549, 925)",0.0
"(603, 783)",0.0
"(718, 766)",0.0
"(603, 715)",0.0
"(324, 358)",1.0
"(38, 472)",0.0
"(167, 392)",0.0
"(540, 728)",0.0
"(638, 861)",0.0
"(23, 750)",0.0
"(217, 564)",0.0
"(307, 529)",0.0
"(575, 702)",0.0
"(176, 659)",0.0
"(237, 786)",0.0
"(168, 224)",0.0
"(49, 136)",0.0
"(446, 873)",0.0
"(154, 871)",0.0
"(333, 881)",0.0
"(133, 253)",1.0
"(312, 484)",0.0
"(504, 606)",0.0
"(448, 958)",0.0
"(327, 964)",0.0
"(582, 625)",0.0
"(43, 443)",0.0
"(588, 673)",0.0
"(20, 621)",0.0
"(742, 819)",0.0
"(493, 613)",0.0
"(852, 854)",0.0
"(114, 456)",0.0
"(625, 944)",0.0
"(484, 724)",0.0
"(424, 768)",0.0
"(120, 211)",0.0
"(88, 803)",0.0
"(698, 913)",0.0
"(156, 769)",0.0
"(494, 808)",0.0
"(464, 499)",0.0
"(61, 252)",0.0
"(744, 967)",0.0
"(813, 955)",0.0
"(226, 973)",0.0
"(91, 884)",0.0
"(442, 966)",0.0
"(168, 773)",0.0
"(587, 675)",0.0
"(228, 447)",1.0
"(292, 357)",0.0
"(5, 155)",1.0
"(509, 547)",0.0
"(349, 759)",0.0
"(373, 461)",0.0
"(215, 963)",0.0
"(268, 988)",0.0
"(550, 741)",0.0
"(215, 805)",0.0
"(230, 812)",0.0
"(554, 722)",0.0
"(220, 811)",0.0
"(565, 646)",1.0
"(406, 772)",0.0
"(672, 995)",0.0
"(375, 857)",0.0
"(39, 673)",0.0
"(482, 627)",0.0
"(568, 864)",0.0
"(61, 699)",0.0
"(337, 350)",0.0
"(330, 458)",0.0
"(27, 183)",1.0
"(487, 660)",0.0
"(191, 597)",0.0
"(534, 792)",0.0
"(530, 676)",0.0
"(314, 671)",0.0
"(147, 471)",0.0
"(306, 354)",0.0
"(389, 955)",0.0
"(516, 579)",0.0
"(168, 590)",0.0
"(493, 606)",0.0
"(251, 783)",0.0
"(557, 786)",0.0
"(90, 756)",0.0
"(208, 707)",0.0
"(229, 596)",0.0
"(91, 311)",0.0
"(277, 810)",0.0
"(231, 352)",1.0
"(527, 788)",0.0
"(572, 911)",0.0
"(507, 677)",0.0
"(689, 786)",0.0
"(74, 359)",0.0
"(530, 916)",0.0
"(719, 990)",0.0
"(128, 337)",1.0
"(106, 456)",0.0
"(527, 869)",0.0
"(908, 941)",0.0
"(238, 245)",0.0
"(109, 741)",0.0
"(310, 403)",0.0
"(30, 522)",0.0
"(81, 261)",0.0
"(92, 253)",0.0
"(92, 581)",0.0
"(190, 319)",0.0
"(161, 843)",0.0
"(395, 888)",0.0
"(568, 609)",0.0
"(261, 820)",1.0
"(85, 278)",0.0
"(809, 916)",0.0
"(256, 632)",0.0
"(219, 908)",0.0
"(67, 245)",0.0
"(703, 769)",0.0
"(706, 747)",0.0
"(297, 933)",0.0
"(242, 619)",0.0
"(295, 773)",0.0
"(15, 86)",1.0
"(154, 737)",0.0
"(203, 972)",0.0
"(214, 804)",0.0
"(265, 865)",0.0
"(880, 917)",0.0
"(212, 397)",0.0
"(27, 113)",1.0
"(201, 878)",0.0
"(737, 948)",0.0
"(653, 788)",0.0
"(246, 674)",1.0
"(213, 297)",0.0
"(196, 902)",0.0
"(882, 975)",0.0
"(436, 972)",0.0
"(250, 276)",0.0
"(390, 799)",0.0
"(838, 1001)",0.0
"(456, 470)",0.0
"(170, 440)",1.0
"(394, 430)",0.0
"(99, 691)",0.0
"(164, 315)",0.0
"(613, 779)",0.0
"(16, 628)",0.0
"(474, 713)",0.0
"(263, 770)",0.0
"(440, 635)",0.0
"(19, 626)",0.0
"(196, 530)",0.0
"(280, 929)",0.0
"(244, 831)",0.0
"(11, 975)",0.0
"(485, 907)",0.0
"(65, 74)",1.0
"(384, 932)",0.0
"(498, 615)",0.0
"(109, 878)",0.0
"(102, 823)",0.0
"(608, 788)",0.0
"(614, 855)",0.0
"(670, 947)",0.0
"(15, 877)",0.0
"(4, 37)",0.0
"(165, 684)",0.0
"(168, 807)",0.0
"(164, 618)",0.0
"(260, 894)",0.0
"(431, 555)",0.0
"(245, 645)",0.0
"(524, 963)",0.0
"(86, 614)",0.0
"(392, 747)",0.0
"(163, 241)",0.0
"(821, 948)",0.0
"(522, 553)",1.0
"(297, 656)",0.0
"(813, 827)",0.0
"(763, 850)",0.0
"(508, 802)",0.0
"(662, 745)",0.0
"(216, 706)",0.0
"(432, 585)",0.0
"(564, 707)",0.0
"(110, 172)",0.0
"(129, 228)",1.0
"(475, 838)",0.0
"(618, 756)",0.0
"(495, 985)",0.0
"(6, 720)",0.0
"(331, 692)",0.0
"(150, 687)",0.0
"(645, 786)",0.0
"(295, 619)",0.0
"(721, 968)",0.0
"(469, 571)",0.0
"(640, 677)",0.0
"(537, 750)",0.0
"(586, 703)",0.0
"(13, 315)",1.0
"(810, 993)",0.0
"(828, 952)",0.0
"(661, 852)",0.0
"(193, 459)",0.0
"(749, 761)",0.0
"(377, 698)",0.0
"(789, 899)",0.0
"(22, 545)",0.0
"(26, 365)",0.0
"(614, 754)",0.0
"(514, 916)",0.0
"(341, 656)",0.0
"(295, 983)",0.0
"(161, 895)",0.0
"(520, 662)",0.0
"(301, 815)",0.0
"(52, 58)",0.0
"(254, 944)",0.0
"(628, 864)",0.0
"(393, 905)",0.0
"(289, 979)",0.0
"(440, 810)",0.0
"(426, 892)",0.0
"(264, 576)",0.0
"(426, 509)",1.0
"(171, 394)",0.0
"(294, 839)",0.0
"(155, 288)",0.0
"(221, 976)",0.0
"(351, 807)",0.0
"(345, 551)",0.0
"(149, 446)",0.0
"(8, 884)",1.0
"(387, 439)",0.0
"(460, 962)",0.0
"(237, 591)",0.0
"(452, 986)",0.0
"(246, 783)",0.0
"(575, 660)",0.0
"(405, 666)",0.0
"(405, 801)",0.0
"(390, 421)",0.0
"(752, 992)",0.0
"(419, 854)",0.0
"(854, 913)",0.0
"(81, 735)",0.0
"(530, 703)",0.0
"(12, 131)",1.0
"(463, 792)",0.0
"(118, 344)",0.0
"(406, 975)",0.0
"(585, 928)",0.0
"(267, 994)",0.0
"(132, 506)",1.0
"(398, 585)",0.0
"(412, 957)",0.0
"(281, 380)",0.0
"(95, 606)",0.0
"(187, 612)",1.0
"(483, 790)",0.0
"(288, 555)",0.0
"(115, 997)",0.0
"(81, 844)",0.0
"(16, 352)",0.0
"(162, 280)",0.0
"(536, 861)",0.0
"(250, 612)",0.0
"(455, 625)",0.0
"(255, 514)",0.0
"(237, 439)",0.0
"(276, 386)",0.0
"(50, 99)",0.0
"(392, 859)",0.0
"(342, 920)",0.0
"(706, 709)",0.0
"(269, 563)",0.0
"(92, 441)",0.0
"(60, 519)",0.0
"(102, 296)",0.0
"(764, 957)",0.0
"(317, 879)",0.0
"(898, 907)",0.0
"(260, 922)",0.0
"(120, 823)",0.0
"(51, 622)",0.0
"(98, 414)",0.0
"(184, 824)",0.0
"(327, 599)",0.0
"(165, 808)",0.0
"(374, 586)",0.0
"(401, 850)",0.0
"(394, 960)",0.0
"(912, 960)",0.0
"(259, 419)",0.0
"(519, 912)",0.0
"(819, 1002)",0.0
"(555, 570)",1.0
"(6, 998)",0.0
"(158, 537)",0.0
"(214, 858)",0.0
"(126, 412)",1.0
"(79, 927)",0.0
"(52, 149)",0.0
"(228, 758)",0.0
"(153, 440)",0.0
"(735, 904)",0.0
"(10, 912)",0.0
"(557, 866)",0.0
"(763, 932)",0.0
"(495, 559)",0.0
"(168, 678)",0.0
"(207, 702)",1.0
"(551, 573)",0.0
"(463, 958)",0.0
"(371, 472)",0.0
"(9, 801)",0.0
"(25, 504)",0.0
"(157, 870)",0.0
"(185, 803)",0.0
"(387, 604)",0.0
"(23, 309)",0.0
"(195, 415)",0.0
"(369, 863)",0.0
"(27, 814)",0.0
"(410, 947)",0.0
"(355, 597)",0.0
"(81, 775)",0.0
"(934, 949)",0.0
"(333, 483)",1.0
"(151, 300)",0.0
"(435, 476)",0.0
"(213, 626)",0.0
"(61, 191)",1.0
"(16, 869)",0.0
"(660, 899)",0.0
"(99, 387)",0.0
"(8, 207)",0.0
"(643, 753)",0.0
"(200, 316)",0.0
"(70, 620)",0.0
"(581, 917)",0.0
"(443, 777)",0.0
"(480, 570)",0.0
"(63, 133)",1.0
"(72, 437)",0.0
"(330, 627)",0.0
"(44, 402)",0.0
"(174, 1002)",0.0
"(67, 929)",0.0
"(8, 535)",0.0
"(374, 917)",0.0
"(337, 627)",0.0
"(467, 769)",0.0
"(285, 689)",0.0
"(740, 923)",0.0
"(901, 908)",0.0
"(480, 578)",0.0
"(245, 379)",0.0
"(247, 800)",0.0
"(280, 561)",0.0
"(435, 813)",0.0
"(435, 748)",0.0
"(441, 552)",0.0
"(573, 605)",0.0
"(519, 679)",0.0
"(48, 571)",0.0
"(120, 217)",0.0
"(85, 418)",1.0
"(39, 347)",0.0
"(35, 956)",0.0
"(717, 953)",0.0
"(441, 765)",1.0
"(424, 465)",0.0
"(272, 823)",0.0
"(369, 640)",0.0
"(548, 621)",0.0
"(117, 579)",0.0
"(28, 583)",0.0
"(195, 203)",0.0
"(345, 886)",0.0
"(942, 976)",0.0
"(686, 700)",0.0
"(8, 367)",0.0
"(786, 996)",0.0
"(368, 408)",0.0
"(162, 783)",0.0
"(71, 817)",0.0
"(330, 882)",0.0
"(171, 264)",0.0
"(631, 950)",0.0
"(496, 952)",0.0
"(707, 754)",1.0
"(321, 330)",0.0
"(598, 779)",0.0
"(415, 935)",0.0
"(96, 265)",0.0
"(342, 432)",0.0
"(748, 783)",0.0
"(725, 817)",0.0
"(373, 606)",0.0
"(263, 304)",1.0
"(254, 353)",0.0
"(677, 868)",0.0
"(175, 223)",0.0
"(687, 724)",0.0
"(559, 985)",0.0
"(137, 643)",0.0
"(280, 666)",0.0
"(300, 789)",0.0
"(75, 852)",0.0
"(239, 453)",0.0
"(486, 1002)",0.0
"(450, 639)",0.0
"(457, 982)",0.0
"(140, 944)",0.0
"(432, 923)",0.0
"(267, 541)",0.0
"(224, 415)",0.0
"(511, 979)",0.0
"(716, 770)",0.0
"(66, 892)",0.0
"(406, 948)",0.0
"(772, 922)",0.0
"(148, 872)",0.0
"(614, 943)",0.0
"(356, 652)",1.0
"(132, 932)",1.0
"(141, 341)",0.0
"(661, 948)",0.0
"(6, 514)",0.0
"(423, 738)",0.0
"(85, 500)",0.0
"(151, 663)",0.0
"(626, 967)",0.0
"(57, 406)",0.0
"(284, 758)",0.0
"(817, 873)",0.0
"(282, 780)",0.0
"(681, 725)",0.0
"(239, 813)",0.0
"(102, 745)",0.0
"(92, 575)",0.0
"(345, 695)",0.0
"(345, 470)",0.0
"(745, 753)",0.0
"(432, 648)",0.0
"(183, 1004)",0.0
"(491, 955)",0.0
"(642, 955)",0.0
"(393, 668)",0.0
"(847, 874)",0.0
"(68, 330)",0.0
"(233, 322)",0.0
"(148, 233)",0.0
"(45, 281)",0.0
"(367, 779)",0.0
"(446, 885)",0.0
"(294, 474)",0.0
"(42, 275)",0.0
"(448, 668)",0.0
"(148, 533)",0.0
"(432, 540)",0.0
"(16, 497)",0.0
"(802, 993)",0.0
"(741, 870)",0.0
"(79, 173)",1.0
"(119, 940)",0.0
"(283, 764)",0.0
"(423, 537)",0.0
"(782, 800)",0.0
"(237, 517)",0.0
"(101, 278)",0.0
"(613, 959)",0.0
"(252, 768)",0.0
"(291, 547)",0.0
"(180, 486)",0.0
"(125, 811)",0.0
"(268, 840)",0.0
"(270, 634)",0.0
"(479, 521)",0.0
"(67, 182)",0.0
"(537, 803)",0.0
"(172, 789)",1.0
"(78, 325)",0.0
"(162, 739)",0.0
"(406, 674)",1.0
"(298, 629)",0.0
"(676, 699)",0.0
"(541, 616)",0.0
"(110, 964)",0.0
"(236, 257)",0.0
"(928, 989)",0.0
"(223, 835)",0.0
"(408, 689)",0.0
"(783, 784)",0.0
"(753, 767)",0.0
"(266, 1000)",0.0
"(110, 730)",0.0
"(457, 669)",0.0
"(328, 578)",0.0
"(706, 788)",0.0
"(198, 645)",0.0
"(5, 68)",0.0
"(321, 344)",0.0
"(291, 476)",1.0
"(814, 983)",0.0
"(80, 850)",0.0
"(179, 341)",0.0
"(793, 834)",0.0
"(460, 578)",0.0
"(272, 825)",0.0
"(458, 912)",0.0
"(723, 779)",0.0
"(217, 869)",0.0
"(320, 473)",1.0
"(45, 682)",0.0
"(495, 582)",1.0
"(477, 824)",0.0
"(339, 408)",0.0
"(92, 657)",0.0
"(82, 870)",0.0
"(219, 805)",0.0
"(859, 992)",0.0
"(95, 494)",1.0
"(68, 883)",0.0
"(403, 523)",1.0
"(111, 812)",0.0
"(712, 750)",0.0
"(206, 270)",1.0
"(23, 612)",1.0
"(85, 706)",0.0
"(791, 848)",0.0
"(171, 201)",0.0
"(637, 830)",0.0
"(588, 783)",0.0
"(380, 458)",0.0
"(330, 743)",0.0
"(638, 958)",0.0
"(344, 668)",0.0
"(280, 834)",0.0
"(524, 936)",0.0
"(358, 786)",0.0
