address,lat,lon
"2700 outer drive, Detroit MI",42.440447,-83.0583062
"3811 grand, Detroit MI",42.3903589,-83.133736
"3615 chene, Detroit MI",42.3566504,-83.0350322
"16114 sunderland rd, Detroit MI",42.40845,-83.227023
"10302 ohio, Detroit MI",42.370552,-83.153898
"2593 lenox, Detroit MI",42.378989,-82.957233
"8841 rouge, Detroit MI",42.3299817,-83.2532878
"14673 birwood, Detroit MI",42.397658,-83.163942
"1650 monterey, Detroit MI",42.3894801,-83.1068759
"5300 milford, Detroit MI",42.3498125,-83.1219155
"2974 virginia park, Detroit MI",42.365195,-83.108312
"5109 harold, Detroit MI",42.40616,-83.0485659
"166245 appoline, Detroit MI",42.398533,-83.170276
"309 lakewood, Detroit MI",42.362692,-82.939724
"19163 dresden, Detroit MI",42.4355701,-83.0000513
"15047 eight mile, Detroit MI",42.4448989,-83.194716
"5036 hillsboro, Detroit MI",42.3626325,-83.130212
"1763 seven mile, Detroit MI",42.433058,-83.084735
"9770 grinnell, Detroit MI",42.401068,-83.005167
"12082 minock, Detroit MI",42.375361,-83.232243
"18542 schoolcraft, Detroit MI",42.3868099,-83.223103
"11410 st patrick, Detroit MI",42.410365,-83.000479
"16140 fenmore, Detroit MI 48235",42.409051,-83.217053
"8300 chicago, Detroit MI 48204",42.366592,-83.151573
"4331 fullerton, Detroit MI",42.382353,-83.134303
"15801 outer drive, Detroit MI",42.3444909,-83.2517379
"11301 wyoming, Detroit MI",42.3714687,-83.1586696
"16836 chicago, Detroit MI",42.365397,-83.211273
"178 montana, Detroit MI",42.423832,-83.105317
"19510 westphalia, Detroit MI",42.438609,-82.992076
"17329 rutherford, Detroit MI",42.4181421,-83.2049938
"9931 cascade, Detroit MI",42.3717498,-83.1306639
"19639 la salle blvd, Detroit MI",42.3990515,-83.1224698
"19373 glastonbury, Detroit MI",42.433286,-83.223359
"19281 houghton, Detroit MI",42.431881,-83.261182
"19012 kingsville, Detroit MI",42.433352,-82.945933
"14015 gratiot, Detroit MI",42.4311744,-82.9806346
"13310 state fair, Detroit MI",42.4418689,-82.988704
"5120 casmere, Detroit MI",42.406548,-83.048588
"20400 plymouth, Detroit MI 48228",42.372171,-83.240095
"2450 electric, Detroit MI",42.2708715,-83.1576665
"16004 lappin, Detroit MI 48205",42.437142,-82.955511
"2989 cortland, Detroit MI",42.3851,-83.121962
"16834 sussex, Detroit MI",42.4147984,-83.1952815
"8203 prest, Detroit MI",42.353555,-83.195834
"11540 livernois, Detroit MI",42.373111,-83.138525
"15556 wabash, Detroit MI",42.406395,-83.118661
"20230 westbrook, Detroit MI 48219",42.4404839,-83.2523739
"19450 mark twain, Detroit MI",42.435293,-83.187301
"5908 joseph campau, Detroit MI",42.3743849,-83.042366
"9045 livernois, Detroit MI",42.3617489,-83.1384824
"1506 pennsylvania, Detroit MI",42.362234,-82.983614
"15086 lamphere, Detroit MI",42.398847,-83.261237
"20248 prairie, Detroit MI",42.443373,-83.145773
"5903 coplin, Detroit MI 48213",42.400122,-82.9688394
"5091 ivanhoe, Detroit MI",42.357907,-83.124719
"15360 prest, Detroit MI",42.402885,-83.19714
"20092 pelkey, Detroit MI",42.4453386,-82.9864939
"2503 chrysler, Detroit MI",42.3382182,-83.0401115
"6702 longacre, Detroit MI",42.339927,-83.212889
"12411 seven mile, Detroit MI",42.4349886,-82.997906
"2280 erskine, Detroit MI",42.353601,-83.033528
"8226 nuernberg, Detroit MI",42.4175949,-83.0199531
"5877 norcross, Detroit MI 48213",42.396875,-82.980703
"14588 terry, Detroit MI 48227",42.3957229,-83.191267
"15411 birwood, Detroit MI 48238",42.404406,-83.164317
"13641 seven mile, Detroit MI 48205",42.4351665,-82.984213
"15419 warwick, Detroit MI",42.402958,-83.22929
"19154 lindsay, Detroit MI 48235",42.431018,-83.213558
"3871 warren, Detroit MI",42.344525,-83.105484
"15776 bramell, Detroit MI",42.405546,-83.2641189
"3984 canton, Detroit MI",42.367067,-83.017315
"7318 brace, Detroit MI",42.3450949,-83.2229892
"2519 buena vista, Detroit MI",42.390996,-83.119584
"15815 muirland, Detroit MI",42.4080713,-83.1337133
"10060 rosemont, Detroit MI",42.3687613,-83.2188904
"4145 cass, Detroit MI",42.3501156,-83.0637372
"2986 richton, Detroit MI 48206",42.384759,-83.121732
"6380 rutherford, Detroit MI",42.337556,-83.200469
"3254 vicksburg, Detroit MI",42.363508,-83.1102202
"5214 spokane, Detroit MI",42.358879,-83.126256
"3026 iroquois, Detroit MI",42.366199,-82.999533
"2237 fort st, Detroit MI",42.2468089,-83.1786379
"13141 mcdougall, Detroit MI 48212",42.41218,-83.06571
"5435 cecil, Detroit MI",42.3360378,-83.1358675
"8218 minock, Detroit MI",42.352553,-83.231652
"19217 berkeley, Detroit MI",42.433359,-83.139143
"13493 caldwell, Detroit MI",42.4108552,-83.0464086
"6823 iroquois, Detroit MI",42.3925622,-83.0181874
"6045 larkins, Detroit MI",42.341879,-83.138846
"4805 farmbrook, Detroit MI",42.408165,-82.9186042
"14040 grandville, Detroit MI",42.388427,-83.230458
"12845 greenfield, Detroit MI",42.3828136,-83.1979432
"15490 chatham, Detroit MI",42.403366,-83.262727
"8600 wisconsin, Detroit MI",42.358106,-83.153872
"10960 somerset, Detroit MI",42.421978,-82.944323
"18323 shaftsbury, Detroit MI 48219",42.424314,-83.2309691
"11385 mckinney, Detroit MI",42.426832,-82.938745
"12861 artesian, Detroit MI",42.382689,-83.227508
"13926 wyoming, Detroit MI",42.3889989,-83.1587348
"9401 burt rd, Detroit MI",42.3642039,-83.2460555
"16814 dolphin, Detroit MI",42.413134,-83.259215
"7709 faust, Detroit MI",42.3485765,-83.2212065
"2563 cabot, Detroit MI",42.3114514,-83.1356736
"5095 ogden, Detroit MI",42.331289,-83.1474459
"12747 nashville, Detroit MI",42.422516,-82.991778
"14960 rossini drive, Detroit MI",42.443319,-82.967558
"7500 bryden, Detroit MI",42.348599,-83.144692
"15718 cruse, Detroit MI",42.4059631,-83.183612
"5645 howard, Detroit MI",42.3126472,-83.0991543
"658 taylor, Detroit MI",42.380741,-83.0854279
"8490 asbury park, Detroit MI",42.355644,-83.206136
"5261 alter, Detroit MI",42.399288,-82.956721
"12854 buffalo, Detroit MI 48212",42.4126349,-83.0477104
"9597 fielding, Detroit MI 48228",42.366112,-83.241299
"19609 roslyn, Detroit MI",42.437296,-83.137563
"18184 kentfield, Detroit MI",42.422843,-83.2410979
"20260 bradford, Detroit MI 48205",42.446269,-83.001022
"941 longfellow, Detroit MI",42.3820849,-83.091734
"1908 casgrain, Detroit MI 48209",42.314349,-83.111642
"15142 joy rd, Detroit MI",42.358457,-83.193543
"7019 lexington, Detroit MI",42.305856,-83.112889
"15800 vaughan, Detroit MI",42.4061917,-83.2384703
"6722 floyd, Detroit MI",42.3465511,-83.1382667
"12543 greiner, Detroit MI",42.427684,-82.9959219
"18803 cardoni, Detroit MI",42.430273,-83.091593
"14101 dolphin, Detroit MI",42.3493279,-83.2568955
"3300 edsel ford, Detroit MI",42.376218,-83.0393195
"5310 chene, Detroit MI",42.3682019,-83.042014
"435 marlborough, Detroit MI",42.365865,-82.938818
"19752 hubbell, Detroit MI",42.436878,-83.189838
"12700 chicago, Detroit MI",42.366225,-83.168255
"4584 seebaldt, Detroit MI",42.355661,-83.1187659
"6560 mack, Detroit MI",42.362212,-83.017764
"2457 lawndale, Detroit MI",42.3110076,-83.1340199
"2111 grand blvd, Detroit MI",42.35839,-83.106452
"4861 bishop, Detroit MI",42.403887,-82.93271
"5646 hillcrest, Detroit MI",42.418596,-82.916569
"13492 sparling, Detroit MI",42.416773,-83.045298
"8611 vaughan, Detroit MI",42.3559097,-83.2371136
"16170 manor, Detroit MI",42.410666,-83.168336
"887 atkinson, Detroit MI",42.380686,-83.089626
"3477 bewick, Detroit MI",42.373193,-82.988106
"18944 woodward ave, Detroit MI",42.4311109,-83.1137492
"8634 fenkell, Detroit MI",42.402544,-83.1559719
"7410 seven mile, Detroit MI",42.4317573,-83.1462711
"17725 grand river, Detroit MI",42.4000448,-83.2166869
"7799 american, Detroit MI",42.350965,-83.144347
"13338 fenkell, Detroit MI",42.4023449,-83.176676
"9408 pinehurst, Detroit MI",42.3654409,-83.165046
"5247 wayburn, Detroit MI",42.399539,-82.955367
"14820 tracey, Detroit MI",42.397601,-83.179589
"13539 fleming, Detroit MI",42.4126053,-83.0753336
"8318 house, Detroit MI 48234",42.4347,-83.018813
"8211 faust, Detroit MI",42.352574,-83.2213772
"13031 seven mile, Detroit MI",42.43092,-83.174825
"16084 coram, Detroit MI",42.4380499,-82.9540449
"5944 trenton, Detroit MI",42.335929,-83.151382
"17808 maine, Detroit MI 48234",42.423541,-83.075051
"14001 edmore dr, Detroit MI",42.447106,-82.980412
"18536 norwood, Detroit MI",42.429065,-83.066044
"6319 barlum, Detroit MI",42.3435289,-83.12993
"8157 indiana, Detroit MI",42.354044,-83.15551
"18822 caldwell, Detroit MI",42.4108552,-83.0464086
"8876 kimberly ct, Detroit MI",42.3645808,-83.1238698
"18734 john r, Detroit MI",42.429652,-83.101837
"16254 stoepel, Detroit MI",42.412108,-83.141297
"3703 frederick, Detroit MI",42.37267,-83.029938
"5276 lakewood, Detroit MI",42.397825,-82.961349
"18784 faust, Detroit MI",42.429439,-83.22372
"18481 albany st, Detroit MI",42.4292712,-83.0449999
"617 seven mile, Detroit MI",42.4323762,-83.0975758
"6912 longacre, Detroit MI 48228",42.342809,-83.212987
"16829 harper, Detroit MI",42.4152913,-82.9391405
"12040 visger, Detroit MI",42.2660966,-83.1560886
"17651 st louis, Detroit MI",42.424019,-83.040197
"11225 courville, Detroit MI",42.4183304,-82.9617055
"16641 chicago, Detroit MI",42.364909,-83.210122
"16247 coyle, Detroit MI 48235",42.4110263,-83.1944692
"15044 evergreen, Detroit MI",42.398818,-83.236873
"1421 eastlawn, Detroit MI",42.3768753,-82.9509801
"19739 harlow, Detroit MI",42.4360693,-83.2166558
"1484 biltmore, Detroit MI",42.4211299,-83.2111771
"3617 martin, Detroit MI",42.325427,-83.123585
"20403 charest, Detroit MI",42.4452121,-83.0720968
"16584 washburn, Detroit MI",42.413368,-83.160831
"12031 winthrop, Detroit MI",42.375225,-83.19911
"5392 seebaldt, Detroit MI",42.352969,-83.125804
"8147 bryden, Detroit MI",42.3542208,-83.1452891
"16146 log cabin, Detroit MI",42.410963,-83.121115
"2025 la salle gardens, Detroit MI",42.366229,-83.095466
"4423 32nd st, Detroit MI",42.3361168,-83.1132721
"6731 oakman blvd, Detroit MI",42.3516902,-83.1693603
"9508 graham, Detroit MI",42.29216,-83.13085
"1811 adelaide st, Detroit MI",42.348306,-83.036947
"3211 mcnichols, Detroit MI 48212",42.418841,-83.068485
"17685 fenton, Detroit MI",42.420444,-83.282827
"14727 jefferson, Detroit MI",42.3743743,-82.9407192
"9107 peter hunt, Detroit MI",42.3932973,-83.0120629
"105 collingwood, Detroit MI",42.389339,-83.088401
"14520 gratiot, Detroit MI",42.4380796,-82.9757242
"19662 runyon, Detroit MI",42.439574,-83.006575
"5250 coplin, Detroit MI",42.395986,-82.965451
"1700 mcnichols, Detroit MI",42.4175318,-83.1190169
"9331 rutherford, Detroit MI",42.36438,-83.202842
"19162 ashton, Detroit MI",42.4309595,-83.2203036
"1316 chalmers, Detroit MI",42.377133,-82.946451
"18500 burt rd, Detroit MI",42.425696,-83.247859
"2325 calvert, Detroit MI",42.380643,-83.1091579
"20930 fenkell, Detroit MI",42.400735,-83.247702
"7015 michigan ave, Detroit MI",42.3311127,-83.1308868
"9186 manor, Detroit MI",42.362327,-83.16618
"12305 ward, Detroit MI",42.379007,-83.173551
"12601 mcnichols, Detroit MI",42.423288,-82.995308
"82 king, Detroit MI",42.380676,-83.078398
"19435 lindsay, Detroit MI",42.43436,-83.21434
"1435 edison, Detroit MI",42.379737,-83.095245
"5467 joseph campau, Detroit MI",42.3707459,-83.040651
"3845 courville, Detroit MI",42.394089,-82.9335536
"16869 archdale, Detroit MI",42.4147892,-83.2168636
"13358 flanders, Detroit MI",42.417415,-82.977906
"5853 barrett, Detroit MI",42.395843,-82.982557
"11149 charlemagne, Detroit MI",42.40828,-82.997835
"20112 monte vista, Detroit MI",42.441026,-83.168465
"13508 patton, Detroit MI",42.384034,-83.242705
"9930 forrer, Detroit MI",42.36828,-83.200552
"8106 smart, Detroit MI",42.3384017,-83.1485275
"20500 washburn, Detroit MI",42.4446902,-83.1622905
"1430 parkview, Detroit MI",42.361555,-82.984348
"15285 troester, Detroit MI 48205",42.426636,-82.963334
"18222 mcnichols, Detroit MI",42.415735,-83.2205951
"13503 ashton, Detroit MI",42.384471,-83.218831
"17392 wyoming, Detroit MI",42.42005,-83.160021
"19139 runyon, Detroit MI",42.4350103,-83.0068123
"20061 robson, Detroit MI",42.4398973,-83.1932347
"7639 poe, Detroit MI",42.368177,-83.0887769
"2585 inglis, Detroit MI",42.3137931,-83.1306629
"12492 laing, Detroit MI",42.430188,-82.950496
"5422 chopin, Detroit MI",42.335716,-83.136245
"6513 vinewood, Detroit MI",42.35227,-83.109078
"11701 sorrento, Detroit MI",42.374609,-83.172165
"761 cavalry, Detroit MI",42.30895,-83.100609
"13282 ardmore, Detroit MI 48227",42.3854,-83.183469
"5500 maplewood, Detroit MI",42.358329,-83.130297
"8242 meyers rd, Detroit MI",42.354635,-83.16704
"8666 faust, Detroit MI",42.356969,-83.220833
"18502 alcoy, Detroit MI",42.430901,-82.988185
"135 montana, Detroit MI",42.423357,-83.104524
"13248 sussex, Detroit MI",42.3845979,-83.194286
"19160 cooley, Detroit MI",42.430124,-83.259169
"18541 fielding, Detroit MI",42.426332,-83.244363
"19790 john r, Detroit MI",42.4393001,-83.1022167
"4666 algonquin, Detroit MI",42.389032,-82.9682289
"3003 vernor, Detroit MI",42.3253522,-83.082452
"16204 steel, Detroit MI",42.411049,-83.171543
"6267 piedmont, Detroit MI",42.335817,-83.228067
"17310 birwood, Detroit MI",42.418872,-83.164361
"9593 hindle, Detroit MI",42.3910856,-83.0707899
"4746 chopin, Detroit MI",42.331886,-83.133446
"3685 helen, Detroit MI",42.364927,-83.0154162
"19331 omira, Detroit MI",42.4354928,-83.0962139
"11498 christy, Detroit MI 48205",42.413801,-83.00089
"9132 french rd, Detroit MI",42.398041,-82.998764
"7668 stout, Detroit MI",42.347774,-83.238771
"20037 roselawn, Detroit MI",42.4406239,-83.1536052
"6225 plainview, Detroit MI",42.334841,-83.2340399
"10909 lakepointe, Detroit MI 48224",42.418829,-82.952958
"9573 evergreen, Detroit MI",42.365836,-83.236382
"19485 coyle, Detroit MI",42.4353985,-83.1954569
"1731 trumbull, Detroit MI",42.3299,-83.066039
"17139 heyden, Detroit MI",42.3772491,-83.2389428
"14865 monica, Detroit MI",42.3990409,-83.1436279
"11657 stout, Detroit MI",42.37282,-83.240269
"18920 trinity, Detroit MI",42.42682,-83.249185
"18030 appoline, Detroit MI",42.422675,-83.17108
"18633 mcnichols, Detroit MI",42.4151844,-83.2249429
"15351 whitcomb, Detroit MI",42.402681,-83.19665
"2939 gratiot, Detroit MI",42.356263,-83.029888
"19166 andover, Detroit MI",42.4334,-83.098737
"18415 fairfield, Detroit MI",42.426758,-83.136004
"1041 seven mile, Detroit MI",42.4327628,-83.0927193
"8945 mendota, Detroit MI",42.360897,-83.1643922
"34 burlingame, Detroit MI",42.391878,-83.088654
"19931 oakfield, Detroit MI",42.4380185,-83.2161636
"15667 manning, Detroit MI 48205",42.441211,-82.959374
"6052 beechwood, Detroit MI",42.348615,-83.118606
"13901 joy rd, Detroit MI",42.356619,-83.180586
"14730 maddelein, Detroit MI",42.435837,-82.97083
"18315 lesure, Detroit MI",42.425425,-83.182848
"6530 woodrow, Detroit MI",42.35232,-83.117711
"4910 tarnow, Detroit MI",42.332675,-83.135195
"20312 strasburg, Detroit MI",42.447057,-82.998531
"2007 tuxedo, Detroit MI 48206",42.3860548,-83.1085023
"14401 mapleridge, Detroit MI",42.4292299,-82.974774
"12640 maiden, Detroit MI",42.404503,-82.978074
"19157 schoenherr, Detroit MI",42.4358259,-82.9854092
"14407 mack, Detroit MI",42.386864,-82.95276
"13623 pinehurst, Detroit MI",42.387652,-83.1657029
"5026 seyburn, Detroit MI",42.37608,-83.013556
"15835 tuller, Detroit MI",42.408011,-83.147627
"5860 charles, Detroit MI",42.4118763,-83.043435
"10539 chicago, Detroit MI",42.365828,-83.165051
"15796 cheyenne, Detroit MI",42.407493,-83.174651
"9101 prest, Detroit MI 48228",42.3606936,-83.196253
"7308 american, Detroit MI",42.346411,-83.143467
"16823 santa rosa, Detroit MI 48221",42.4150631,-83.1430957
"13700 sherwood, Detroit MI",42.4173952,-83.0326067
"16614 sunderland rd, Detroit MI 48219",42.411609,-83.22722
"8600 cameron, Detroit MI",42.3837811,-83.067672
"9356 evergreen, Detroit MI",42.363735,-83.23554
"8417 vernor, Detroit MI",42.3099567,-83.1302801
"5648 lannoo, Detroit MI 48224",42.417877,-82.9172059
"11390 cheyenne, Detroit MI",42.372056,-83.173851
"5431 springwells, Detroit MI",42.333636,-83.1419332
"824 atkinson, Detroit MI",42.3815359,-83.089041
"16149 beaverland, Detroit MI",42.408608,-83.266148
"19447 charest, Detroit MI",42.437627,-83.071646
"5425 michigan ave, Detroit MI",42.330944,-83.110018
"11311 john r, Detroit MI",42.3916689,-83.0840889
"565 larned, Detroit MI",42.3321929,-83.039407
"8340 dexter, Detroit MI",42.36397,-83.112881
"1254 alter, Detroit MI",42.3770476,-82.9406602
"20241 kentfield, Detroit MI",42.440948,-83.243234
"9549 burnette, Detroit MI",42.367345,-83.142578
"1403 mullane, Detroit MI",42.304164,-83.125586
"10612 jefferson, Detroit MI",42.363711,-82.976531
"5650 tarnow, Detroit MI",42.33729,-83.138539
"6248 greenview, Detroit MI",42.33557,-83.221278
"11820 gratiot, Detroit MI",42.410761,-82.993215
"644 charlotte, Detroit MI",42.342427,-83.062551
"9192 steel, Detroit MI",42.362357,-83.169837
"14738 lannette, Detroit MI",42.4174979,-82.9693778
"19970 norwood, Detroit MI 48234",42.441486,-83.067247
"2350 ewald circle, Detroit MI",42.392952,-83.136427
"11831 flanders, Detroit MI",42.411934,-82.9949479
"4305 trumbull, Detroit MI",42.3473725,-83.076364
"1110 grand blvd, Detroit MI",42.372537,-83.017796
"8090 ashton, Detroit MI",42.351948,-83.217062
"11300 mcnichols, Detroit MI",42.419605,-83.008697
"1659 lawrence, Detroit MI",42.384983,-83.103012
"17151 runyon, Detroit MI",42.420713,-83.006776
"2165 harding, Detroit MI",42.367489,-82.979745
"8714 dennison, Detroit MI",42.3349341,-83.1526074
"12226 corbett, Detroit MI",42.4037146,-82.9833212
"4468 st clair, Detroit MI",42.380941,-82.989873
"4867 beaconsfield, Detroit MI",42.397871,-82.949481
"8188 mandalay, Detroit MI",42.354594,-83.138256
"20101 winston, Detroit MI",42.4286861,-83.2841842
"1727 baldwin, Detroit MI",42.355766,-83.002112
"2362 cortland, Detroit MI",42.38819,-83.113845
"13560 archdale, Detroit MI",42.385307,-83.215737
"5845 lemay, Detroit MI",42.392102,-82.993448
"5145 moran, Detroit MI",42.3703159,-83.0327849
"12266 woodmont, Detroit MI",42.377909,-83.208149
"17148 healy, Detroit MI",42.419606,-83.054524
"1086 annin, Detroit MI",42.43635,-83.115723
"10421 whittier, Detroit MI",42.4159579,-82.9506778
"14345 blackstone, Detroit MI",42.39146,-83.249241
"14835 greydale, Detroit MI",42.395989,-83.255619
"4662 harding, Detroit MI",42.383595,-82.990517
"20340 seven mile, Detroit MI",42.4294818,-83.2425272
"19726 greenfield, Detroit MI",42.436233,-83.199596
"2103 green, Detroit MI",42.3125736,-83.1206419
"11542 duchess, Detroit MI 48224",42.42034,-82.959208
"20409 bramford, Detroit MI",42.446321,-83.023721
"15601 maddelein, Detroit MI",42.436693,-82.960412
"5143 burns, Detroit MI",42.3800137,-83.0082324
"11072 chelsea, Detroit MI",42.4040547,-82.9920581
"19202 biltmore, Detroit MI",42.431783,-83.21136
"7387 minock, Detroit MI",42.345889,-83.232057
"2925 buena vista, Detroit MI 48238",42.3894962,-83.123948
"19986 gallagher, Detroit MI",42.441687,-83.070352
"3029 buena vista, Detroit MI",42.3888395,-83.1255665
"20128 tracey, Detroit MI",42.441261,-83.18164
"20 lahser, Detroit MI",42.400433,-83.2568387
"16710 burt rd, Detroit MI",42.411788,-83.247158
"9647 auburn, Detroit MI",42.3668539,-83.233939
"6266 jefferson, Detroit MI",42.300669,-83.098749
"3400 bagley, Detroit MI",42.3234051,-83.0850288
"19817 wyoming, Detroit MI",42.438287,-83.1612006
"3222 puritan, Detroit MI",42.410269,-83.13305
"7742 clayburn, Detroit MI",42.348873,-83.211337
"4086 montgomery, Detroit MI",42.360531,-83.115816
"14524 northlawn, Detroit MI",42.395763,-83.152788
"5044 mcclellan, Detroit MI",42.381704,-83.000479
"5421 michigan ave, Detroit MI",42.330944,-83.109943
"16214 sorrento, Detroit MI",42.411145,-83.172585
"20123 eight mile, Detroit MI",42.4437065,-83.2412337
"7915 lafayette, Detroit MI",42.352906,-82.9971621
"19781 goulburn, Detroit MI",42.441549,-82.994192
"18821 caldwell, Detroit MI",42.4108552,-83.0464086
"9558 mansfield, Detroit MI",42.366203,-83.20286
"18068 buffalo, Detroit MI",42.427244,-83.0474629
"2481 clairmount, Detroit MI",42.373315,-83.106837
"15420 bentler, Detroit MI 48223",42.402565,-83.251548
"3660 arndt, Detroit MI",42.357016,-83.020497
"19654 reno, Detroit MI",42.4404448,-82.9826651
"19254 woodbine, Detroit MI",42.4311278,-83.278584
"14649 roselawn, Detroit MI",42.3974247,-83.1513886
"11702 beaverland, Detroit MI 48239",42.373105,-83.264101
"19603 concord, Detroit MI",42.438795,-83.033268
"12320 mackay, Detroit MI",42.407079,-83.067435
"1659 glynn ct, Detroit MI",42.382516,-83.101296
"13624 saratoga, Detroit MI",42.4319739,-82.984298
"8197 rolyat, Detroit MI",42.43982,-83.020239
"12369 santa rosa, Detroit MI",42.3802779,-83.1416816
"15375 log cabin, Detroit MI",42.404197,-83.121476
"4861 buckingham, Detroit MI",42.3999669,-82.943449
"8268 rathbone, Detroit MI",42.302898,-83.126689
