853 2635
503 331 857
152 841 810
785 302 62
698 830 368
749 238 334
116 311 414
85 829 335
245 345 742
349 428 403
753 623 559
440 340 826
788 97 171
76 526 76
722 698 663
177 65 786
696 66 56
844 394 306
820 225 506
693 585 417
825 387 572
658 509 792
523 804 941
107 322 946
36 643 553
779 702 203
5 233 559
16 86 196
746 528 410
442 161 392
527 622 256
32 123 947
576 456 208
559 710 6
642 730 95
552 536 885
246 689 468
65 362 993
500 156 490
471 610 5
289 813 725
540 221 453
521 661 109
682 17 308
537 728 97
608 282 355
259 12 126
635 285 716
287 743 418
62 86 204
721 765 487
354 791 575
146 804 103
583 470 194
537 683 120
846 320 883
798 514 111
537 844 15
431 619 870
76 844 410
741 820 590
362 738 258
394 816 625
816 133 924
107 369 649
317 590 622
413 755 742
757 152 426
405 806 679
584 68 247
145 494 806
500 594 731
271 609 546
739 80 307
426 782 573
548 702 55
816 93 32
673 743 3
660 502 794
345 646 881
52 759 705
713 712 472
426 585 346
290 620 269
605 840 485
499 814 358
109 287 96
505 9 237
201 65 127
538 164 786
73 144 154
111 786 939
786 573 886
420 523 868
202 778 892
278 567 777
100 212 755
175 744 403
264 575 211
20 329 936
788 165 498
366 180 315
191 815 188
783 728 544
811 438 844
324 827 360
806 14 935
74 281 909
52 356 311
90 583 694
51 132 772
234 745 895
96 598 562
146 43 978
417 85 512
647 663 125
351 100 179
98 355 26
255 349 741
420 33 231
775 793 392
310 571 41
101 548 130
515 651 190
842 499 122
635 787 748
539 631 574
595 286 687
708 166 202
786 484 784
459 452 316
130 595 306
765 43 560
60 834 400
222 55 267
467 36 89
344 8 620
476 682 839
564 562 576
504 804 47
251 708 349
823 344 287
145 638 50
463 713 111
418 201 797
734 570 999
308 203 779
95 685 481
847 34 534
280 107 862
196 260 885
372 632 19
550 708 738
681 403 809
577 849 106
417 677 246
420 293 671
294 258 861
163 612 405
767 249 118
150 412 151
307 538 554
285 531 860
740 637 598
168 689 748
829 451 442
689 826 22
451 831 252
69 686 666
611 542 206
31 564 211
78 50 933
417 839 397
346 1 1
477 556 28
398 450 618
143 17 927
766 726 601
555 603 368
724 777 868
260 244 836
328 34 789
305 163 258
354 91 564
746 667 88
361 741 300
193 513 78
565 98 424
89 505 602
584 43 532
649 498 520
259 681 805
740 765 936
368 185 910
452 295 718
262 408 88
607 736 734
757 306 735
689 268 239
303 146 264
817 446 22
314 754 563
189 642 898
741 104 55
795 98 171
768 789 634
323 129 932
536 517 126
516 9 457
501 788 17
425 483 359
178 661 693
606 704 366
490 697 608
203 86 567
757 198 390
256 779 686
583 291 262
92 766 550
850 620 770
838 746 965
436 817 245
161 377 428
220 640 958
442 61 420
722 328 807
207 148 225
124 405 501
602 587 642
458 838 947
470 492 406
676 539 453
689 349 891
457 158 15
848 88 837
213 130 914
505 364 746
131 95 319
624 231 855
269 33 19
827 549 531
533 293 711
587 210 702
287 695 568
445 274 617
851 672 396
798 853 517
710 621 553
438 324 763
306 216 567
637 251 154
465 207 245
755 83 147
643 512 919
97 343 869
741 545 330
760 270 96
256 102 809
311 797 750
224 138 249
369 15 974
385 236 237
831 522 747
414 307 291
801 798 703
612 30 589
143 626 196
606 402 310
576 199 814
664 303 416
674 258 312
57 24 795
613 77 100
112 807 362
428 539 235
695 48 692
784 209 255
186 820 916
88 336 101
262 26 871
416 147 824
666 541 719
329 654 276
259 261 408
531 548 557
588 181 455
726 436 86
500 596 484
311 483 39
643 580 912
619 728 355
381 276 964
490 136 651
283 228 193
842 432 382
720 608 965
597 720 703
250 706 820
33 272 258
193 103 365
809 40 794
286 233 39
104 345 266
122 405 469
359 814 350
202 834 656
261 738 404
63 678 755
127 183 533
341 172 809
789 369 174
400 222 1
182 675 499
451 788 525
795 706 164
168 423 409
558 708 803
847 33 259
471 823 315
354 761 625
86 636 160
317 427 239
607 196 673
119 425 930
252 361 988
38 566 735
424 416 496
575 419 472
471 353 930
463 134 706
203 144 7
841 469 657
723 705 883
408 300 410
238 56 195
813 754 708
322 674 496
405 38 818
320 52 473
422 723 678
693 594 913
557 432 157
16 239 462
338 234 622
254 376 899
636 522 496
575 21 787
507 371 616
507 188 668
205 212 369
271 381 709
60 673 517
303 756 144
401 327 396
384 660 807
601 451 985
185 721 716
331 6 106
366 52 126
748 742 539
719 133 385
834 428 322
432 26 297
209 275 837
804 643 650
135 486 411
364 61 870
261 234 897
272 232 219
557 807 937
563 332 480
142 763 937
621 409 192
675 67 805
68 232 930
560 683 524
393 487 521
380 649 908
737 259 593
675 400 897
625 718 265
478 47 158
572 115 800
631 61 734
836 43 8
347 186 746
348 312 631
629 595 38
384 548 124
82 563 578
295 353 871
293 766 304
692 498 115
295 554 982
276 467 546
156 263 439
208 752 601
438 230 926
589 13 939
387 361 639
519 695 534
534 55 244
86 123 437
439 79 392
495 315 449
525 326 345
58 529 750
106 551 118
758 240 932
546 27 479
248 5 6
844 440 413
757 67 754
757 338 867
840 473 518
312 621 352
144 606 313
52 10 331
275 236 327
472 681 636
597 586 815
710 251 273
433 840 265
760 425 58
140 155 911
94 341 968
393 363 964
449 844 542
847 105 831
396 247 33
509 361 885
229 60 692
833 688 306
294 553 557
412 737 321
281 120 141
161 506 766
40 427 934
259 101 297
307 523 584
368 591 245
614 550 83
467 603 788
113 405 680
16 439 718
587 237 576
433 377 832
608 87 753
205 622 700
849 363 52
801 778 59
646 754 213
362 278 150
216 526 689
849 618 345
464 697 655
205 307 959
140 186 732
513 233 230
397 29 916
789 697 332
606 443 832
102 761 532
795 123 355
14 95 316
437 175 521
631 665 594
568 767 902
756 641 267
248 828 459
94 318 102
770 533 579
248 651 314
208 477 707
139 771 364
616 411 747
463 511 387
486 807 770
424 446 224
50 787 392
143 832 470
434 401 473
513 755 606
301 11 633
25 253 741
184 790 51
438 193 279
136 265 499
286 242 518
643 441 601
137 289 573
185 190 415
384 236 185
483 117 914
691 89 755
694 275 497
28 790 55
95 447 716
664 538 18
741 663 213
322 204 448
327 622 765
70 85 963
230 554 959
678 295 6
656 219 379
470 302 824
97 370 650
65 449 864
802 175 46
102 391 89
287 791 701
798 790 394
430 461 559
253 116 34
134 183 597
825 8 564
117 803 22
818 151 932
140 512 458
62 552 562
138 393 570
403 255 326
184 85 566
832 345 532
55 578 342
350 18 153
122 288 572
679 815 673
294 198 316
217 692 456
774 334 646
175 844 843
104 54 468
236 281 388
752 613 618
656 668 135
407 823 418
615 231 471
547 309 703
601 462 735
769 497 851
495 316 575
77 423 899
825 435 705
680 750 144
798 640 330
527 226 241
207 599 930
107 305 607
773 461 333
186 369 381
735 830 51
544 737 67
482 237 33
120 450 62
774 592 31
502 781 144
143 99 524
802 414 719
750 388 86
297 119 457
801 379 599
800 529 421
769 52 729
469 381 757
793 170 183
545 503 108
153 215 207
376 128 917
154 251 996
293 462 460
29 12 32
212 45 847
94 216 584
190 698 61
649 398 365
706 101 220
817 851 938
160 201 772
353 491 772
457 221 145
699 245 360
603 36 806
335 664 861
254 541 869
696 701 741
715 453 179
514 50 222
716 502 917
285 791 132
164 317 418
241 840 939
495 657 788
808 394 120
13 516 562
331 243 452
261 342 548
316 681 576
849 456 317
547 209 81
286 571 653
287 634 420
782 149 855
305 174 364
621 432 776
442 390 290
481 464 842
258 715 99
226 412 398
302 706 946
57 226 699
80 216 584
31 695 32
731 391 949
8 68 540
131 440 220
312 773 293
82 486 673
359 33 214
111 64 330
19 170 534
667 759 788
110 99 586
299 769 527
686 774 192
703 689 182
150 308 851
21 799 703
317 104 656
141 73 444
729 605 93
305 387 473
108 389 420
47 652 438
806 109 482
148 387 694
708 730 658
238 11 133
206 729 382
34 375 451
374 235 335
47 196 280
436 647 225
800 310 411
257 464 600
500 615 350
257 315 76
98 693 870
313 344 802
842 537 581
186 475 350
156 685 522
702 250 992
829 215 116
641 525 884
728 575 694
143 690 419
381 372 26
551 727 512
333 800 84
368 381 592
622 171 515
652 361 202
83 849 766
45 643 211
651 693 601
825 580 452
55 409 164
122 120 513
92 764 380
229 615 270
220 360 62
148 40 927
768 338 923
689 707 903
800 760 558
263 840 389
586 55 447
264 289 294
405 201 815
124 209 366
11 641 498
266 481 458
527 350 334
696 694 802
391 242 866
53 203 372
433 472 298
200 356 695
564 443 990
185 359 550
296 627 606
605 800 450
505 133 305
400 677 990
586 385 533
511 82 125
832 514 774
226 833 115
363 771 512
595 805 147
368 419 509
758 513 148
715 380 940
513 609 140
822 108 310
245 499 476
768 484 525
136 35 962
713 610 151
450 557 540
719 713 111
655 16 709
281 758 459
286 160 679
448 748 935
431 845 156
794 101 909
406 732 841
746 46 111
138 841 221
503 830 294
503 11 871
811 470 631
768 809 327
443 332 944
173 327 46
640 685 882
728 608 699
36 706 78
342 109 776
712 25 465
114 531 52
664 749 641
725 614 546
706 570 515
218 419 145
385 10 511
323 52 970
109 191 629
544 293 970
479 671 937
455 735 245
89 325 28
348 193 722
234 522 430
45 726 185
836 709 966
534 559 621
22 557 373
641 108 864
602 481 667
394 566 171
284 715 484
328 100 589
141 695 559
6 808 615
844 620 829
4 302 124
344 447 170
493 212 264
839 369 540
385 92 597
294 330 565
48 315 143
547 846 631
598 120 973
248 606 485
295 132 780
132 212 317
788 329 427
612 517 220
251 307 625
4 58 31
221 651 802
700 567 473
684 330 460
230 196 746
74 501 78
265 210 311
330 530 390
714 247 902
349 298 390
554 19 332
618 288 931
437 764 87
627 481 283
759 341 428
259 654 599
11 391 426
31 162 275
283 846 888
797 92 180
489 70 415
480 795 139
230 213 596
148 756 542
716 430 665
649 244 253
91 454 46
165 16 636
315 816 278
54 737 111
623 160 695
753 182 376
80 272 140
35 514 152
415 469 399
193 241 437
780 484 918
772 642 879
536 724 866
810 696 280
85 164 620
216 12 311
275 354 657
344 218 947
104 834 432
40 851 813
310 373 702
303 202 606
770 231 822
198 521 455
369 771 422
434 158 663
775 233 251
733 150 156
468 262 563
741 834 291
561 556 37
344 745 551
175 359 330
86 88 115
223 719 972
691 371 420
192 270 256
813 725 803
270 690 850
278 543 246
474 249 297
11 443 895
89 817 448
510 613 167
827 834 686
821 279 724
279 820 346
571 380 346
337 542 449
598 229 317
129 748 839
193 377 821
789 569 954
223 238 719
645 745 369
130 741 971
832 331 472
159 726 998
531 175 383
446 254 965
828 524 502
574 693 716
138 584 987
72 820 155
504 690 158
350 199 201
679 105 404
119 463 575
550 89 375
592 641 91
445 838 91
570 350 99
247 146 124
492 151 979
361 409 46
678 172 790
803 567 539
474 523 185
577 362 386
32 130 615
297 179 410
604 676 91
447 436 522
334 450 322
576 120 155
365 531 809
461 714 68
712 747 142
406 753 726
465 650 801
318 847 938
400 161 629
23 433 344
467 788 712
825 660 407
650 816 355
731 670 226
18 357 856
112 726 852
150 6 657
389 704 489
528 394 753
68 99 613
192 826 848
763 302 517
212 64 833
770 102 32
764 545 921
122 121 82
261 579 73
381 784 527
388 227 562
305 291 288
148 846 373
731 846 812
396 124 647
57 425 561
64 761 169
95 770 1000
285 358 925
353 265 493
671 276 419
478 298 553
332 677 330
750 835 530
521 369 271
457 714 299
92 191 778
797 487 666
80 492 711
442 712 848
730 385 708
641 355 190
339 302 190
294 826 586
723 232 626
522 322 268
580 789 653
143 457 687
601 205 287
192 144 734
511 629 90
60 77 540
15 498 540
61 46 894
259 803 814
414 461 331
386 422 341
201 48 643
369 708 227
753 594 993
726 444 375
207 727 385
4 121 50
120 55 323
222 412 46
186 58 822
173 166 636
300 493 514
337 812 362
609 762 415
311 548 669
668 727 768
221 235 274
561 155 119
296 17 475
114 224 948
687 831 874
841 294 940
116 826 702
436 122 699
327 322 254
344 839 260
842 88 362
357 373 756
37 617 243
120 117 700
220 791 901
647 840 898
262 200 821
545 309 710
501 40 604
55 313 401
392 312 944
129 798 488
354 588 370
415 74 564
580 471 141
121 469 119
614 272 739
795 561 880
10 720 624
228 406 674
140 715 969
256 2 543
472 428 806
800 26 885
143 8 153
497 77 85
745 748 795
106 166 197
849 617 983
613 228 938
329 466 911
1 796 925
44 528 821
704 621 305
586 373 115
49 325 876
357 106 372
11 519 770
630 159 411
822 761 860
62 745 461
95 533 209
534 670 800
580 374 920
569 355 864
97 116 250
797 112 510
615 23 136
647 703 386
115 809 885
232 9 662
490 464 591
356 592 12
213 192 352
137 475 940
262 379 194
614 565 855
92 587 569
681 723 461
157 659 844
644 304 813
598 187 204
12 228 548
848 554 272
453 362 575
766 456 525
13 162 59
18 492 463
354 684 436
280 781 381
647 100 16
815 58 565
471 66 440
731 41 818
254 465 601
600 445 697
71 295 563
231 705 397
175 421 327
30 792 395
502 604 484
839 1 836
833 322 126
708 388 130
656 570 822
165 810 98
26 762 163
19 787 588
255 587 9
398 11 789
369 316 481
244 386 616
418 719 603
807 706 798
54 657 333
253 717 555
305 319 258
145 623 177
759 53 782
678 312 294
565 401 145
370 401 358
514 395 315
423 251 723
175 627 615
300 805 241
153 18 190
680 573 624
170 168 671
448 481 853
434 27 806
696 261 122
289 414 929
306 325 357
808 591 474
600 232 558
107 326 129
327 613 658
613 739 975
577 657 970
646 416 365
120 363 232
646 665 722
284 811 728
298 232 85
494 309 699
345 576 614
356 409 990
584 86 608
811 230 557
532 382 626
791 503 777
211 249 416
532 503 99
830 210 59
45 423 725
146 397 353
830 623 196
141 31 368
696 348 733
673 839 443
445 286 553
618 318 192
259 151 763
492 69 339
705 64 693
111 110 942
782 671 391
358 105 320
329 227 559
508 164 104
137 351 932
363 479 650
428 368 543
310 730 408
523 606 997
408 594 11
36 687 820
760 319 374
496 611 908
332 782 28
237 144 921
399 180 516
731 748 198
284 30 502
715 193 937
740 149 908
738 804 458
470 553 147
686 837 595
371 825 332
73 706 889
520 346 945
414 646 28
337 212 517
703 542 595
236 515 267
106 684 931
796 717 907
505 90 245
696 718 109
235 681 778
290 818 71
706 462 848
587 799 579
548 749 37
697 2 779
638 497 800
598 737 973
489 720 138
325 846 919
401 644 834
86 287 999
397 244 651
124 319 701
834 471 517
394 42 495
177 267 68
512 12 153
389 121 436
763 576 408
333 831 787
503 102 169
661 171 320
419 693 856
482 167 607
499 62 596
108 765 751
665 645 110
289 841 565
245 720 283
774 589 52
457 450 288
58 307 211
296 376 370
474 286 219
841 254 563
691 597 407
159 344 296
836 725 896
212 127 255
337 561 177
272 67 903
793 577 565
457 392 625
331 572 445
133 773 239
271 508 195
395 244 37
378 612 385
795 258 388
147 774 867
96 322 821
113 701 918
581 805 944
400 168 329
180 433 479
321 755 309
426 287 694
442 350 179
463 604 81
716 851 562
810 722 432
217 83 489
587 516 538
45 794 701
114 846 191
712 309 730
789 790 586
738 642 37
409 237 914
150 695 401
71 678 408
203 827 395
804 510 175
54 170 514
451 844 233
257 292 258
563 634 939
14 186 751
622 225 934
91 143 951
221 226 987
528 667 145
463 383 761
440 579 767
128 506 531
117 588 28
207 359 314
89 551 490
51 122 429
749 521 315
731 284 679
732 150 609
268 359 768
82 179 829
850 833 801
497 106 400
229 510 383
533 834 951
83 414 984
805 447 698
284 55 440
810 364 749
359 663 900
319 622 127
77 1 973
831 408 141
454 643 599
276 594 360
711 434 325
281 453 262
268 668 312
103 607 244
689 844 474
147 202 156
132 385 761
546 687 595
80 397 862
482 838 511
621 108 616
656 480 642
570 705 360
65 840 733
398 38 78
852 175 14
497 708 471
492 620 495
468 409 754
442 674 737
569 155 847
82 668 103
75 38 373
720 806 830
377 630 560
551 340 634
480 395 610
423 775 650
247 92 986
844 414 377
427 629 640
186 381 22
290 462 316
746 13 882
273 709 642
625 268 352
641 697 853
101 25 191
359 489 740
130 562 478
5 662 975
281 214 703
597 282 37
69 112 545
192 717 807
381 162 157
454 153 509
576 750 755
307 353 375
212 443 414
419 711 48
605 372 386
456 387 337
544 642 687
159 682 483
838 527 214
768 92 899
312 163 662
775 809 891
68 618 386
375 367 22
611 752 481
479 669 275
212 483 683
504 672 70
793 702 891
250 748 499
522 679 705
138 261 68
225 726 60
167 55 885
301 557 82
51 485 101
726 481 471
715 517 79
128 693 190
509 534 2
812 665 180
419 168 303
514 207 990
472 322 482
295 270 712
588 641 13
641 697 874
823 177 617
231 515 628
349 450 386
679 437 354
763 459 690
467 486 620
660 852 238
95 339 618
251 239 895
393 515 877
828 752 828
424 274 141
31 3 854
241 283 421
43 276 114
22 639 610
291 496 484
140 789 161
291 67 273
625 574 801
470 788 116
750 382 920
579 124 908
422 199 987
677 68 103
551 426 29
510 331 240
168 464 868
798 555 913
778 751 142
697 164 506
435 560 538
413 493 797
846 651 391
746 219 888
185 663 724
413 263 793
292 843 75
750 473 726
851 215 758
275 835 950
601 735 917
557 90 865
715 566 54
471 174 237
404 30 447
611 528 756
542 14 825
476 72 665
468 632 905
160 232 118
57 460 249
610 78 963
24 672 780
454 779 607
822 563 608
207 149 246
783 400 43
783 136 506
355 428 519
364 468 693
269 805 343
393 413 865
80 552 823
689 742 961
383 820 75
305 494 462
407 769 748
462 595 92
565 203 829
126 630 679
796 654 339
343 88 817
727 833 481
607 363 828
258 338 70
27 829 579
650 398 681
157 370 436
534 400 870
377 173 27
536 616 796
46 257 612
654 753 861
550 438 781
112 389 325
569 9 569
434 64 968
661 94 571
200 639 792
250 512 37
438 558 233
363 570 561
814 92 667
697 469 424
169 227 996
802 186 99
532 202 330
409 196 106
581 50 190
495 62 779
844 260 383
521 735 537
18 652 862
214 124 553
714 142 964
112 132 657
677 742 104
115 359 106
782 234 572
622 140 365
61 700 601
408 760 277
175 314 68
339 583 6
212 582 617
559 178 413
158 249 60
99 285 518
784 69 280
17 649 718
42 771 1000
595 710 474
347 659 531
311 281 647
352 157 109
761 461 622
308 60 326
649 223 795
272 346 616
458 813 218
510 38 662
346 521 973
275 754 601
490 30 805
821 424 301
582 626 566
686 726 965
232 811 933
94 58 706
453 647 83
745 780 693
270 849 75
506 392 970
82 828 500
198 350 505
515 342 343
331 277 707
266 357 767
137 179 918
745 411 423
24 116 316
402 227 239
654 353 630
369 787 118
166 473 522
443 774 305
812 364 898
49 415 199
390 506 150
319 59 483
446 698 162
29 839 788
159 399 708
687 11 47
627 8 273
385 221 242
668 580 153
358 332 736
721 380 208
64 88 55
195 391 160
546 570 279
275 587 687
582 568 668
455 266 546
630 221 812
627 780 3
16 579 540
304 92 609
520 408 228
657 358 251
115 792 102
673 264 590
471 704 868
23 426 889
568 728 418
17 89 819
273 243 455
387 562 85
541 407 857
814 801 942
452 728 525
81 796 205
526 309 710
212 159 941
36 337 497
766 736 512
812 472 117
176 21 616
216 78 534
609 301 729
22 114 587
480 595 707
156 21 370
370 616 966
482 102 915
560 604 986
531 210 533
211 58 907
592 852 340
712 329 271
533 166 652
539 792 652
684 835 177
417 467 714
126 114 331
25 637 301
309 231 408
726 228 480
649 157 713
352 414 316
580 280 435
277 766 663
684 752 525
461 618 141
750 34 600
219 116 258
669 671 579
