937 910
750 78 -397
646 627 927
922 296 -797
20 916 -854
406 767 71
595 930 136
534 458 519
235 931 -458
76 42 -621
915 237 -120
81 245 -624
697 20 40
907 492 -189
925 492 53
759 295 243
87 899 -805
805 406 549
341 503 504
317 409 859
334 459 -734
166 392 359
476 922 -525
177 264 912
612 575 282
467 737 344
657 128 697
440 883 -906
623 181 -134
777 277 -425
800 444 51
330 813 -972
30 721 350
233 584 400
333 828 -256
724 717 -753
558 536 -121
709 431 667
257 615 -184
851 322 -616
831 325 16
857 916 576
782 297 -274
636 567 552
432 691 234
303 178 -936
609 732 -13
91 215 897
755 833 821
58 913 -864
495 799 -628
748 504 -218
311 356 -509
551 513 185
86 903 875
645 55 -960
878 421 115
909 744 -316
221 334 -841
895 198 -540
518 556 825
675 618 -58
356 181 879
329 676 945
248 818 593
599 360 967
527 223 -888
76 113 -685
364 926 108
734 177 153
489 372 975
425 114 375
341 12 -465
680 600 347
390 195 185
207 323 86
682 897 -560
551 8 -640
223 736 -618
42 661 -713
888 911 -318
765 289 -756
5 913 -486
659 413 831
519 536 -234
330 188 309
493 201 845
912 853 -614
812 34 265
369 396 445
521 509 -294
46 836 859
511 306 970
451 832 -982
134 244 -90
340 860 -974
44 172 -127
148 521 -471
495 410 -126
378 816 660
703 44 -482
231 807 -791
577 368 -918
543 119 -641
83 598 725
149 846 -334
440 718 284
515 252 403
341 736 48
340 671 -617
617 19 -554
634 915 90
176 113 -275
611 828 -378
427 531 -856
607 562 443
267 760 -583
48 697 -601
911 373 -613
134 501 980
935 464 186
768 372 534
488 580 -688
22 474 -835
199 349 -184
619 49 329
295 334 -9
632 182 777
121 357 28
423 611 92
506 381 -919
86 314 -225
450 201 365
721 782 -714
780 6 192
897 907 -241
569 501 626
806 434 729
484 660 595
130 587 405
154 492 -394
518 562 540
